participant # overall,participant by year,acreage,latitude,longitude
2024-518,2024-161,0.0459,35.1068238,-106.7159327
2024-519,2024-162,0.0046,35.1009258,-106.6141676
2024-520,2024-163,0.0115,35.1925145,-106.6942929
2024-521,2024-164,0.0459,35.2690935,-106.6521621
2024-522,2024-165,0.2525,35.14792,-106.704838
2024-523,2024-166,0.0344,35.0838646,-106.6030152
2024-524,2024-167,0.0459,35.0733221,-106.6021841
2024-525,2024-168,0.0115,35.2234501,-106.6767534
2024-526,2024-169,0.1722,35.0806067,-106.6436723
2024-527,2024-170,0.3444,35.0696078,-106.6983124
2024-528,2024-171,0.0115,35.1003946,-106.6211759
2024-529,2024-172,0.0574,35.044805,-106.522034
2024-530,2024-173,0.1148,35.0681426,-106.6129824
2024-531,2024-174,0.0803,35.1002246,-106.587317
2024-532,2024-175,0.0207,35.2918307,-106.5901882
2024-533,2024-176,0.0459,35.032089,-106.684572
2024-534,2024-177,0.0918,35.324023,-106.429752
2024-535,2024-178,0.5051,35.0934926,-106.6582904
2024-536,2024-179,0.5051,35.2365296,-106.693096
2024-537,2024-180,0.0230,35.0672149,-106.6101428
2024-538,2024-181,0.0344,35.0796711,-106.7020581
2024-539,2024-182,0.0344,35.0631264,-106.6162844
2024-540,2024-183,0.0689,35.0239626,-106.6904647
2024-541,2024-184,0.0574,32.6594374,-105.6872498
2024-542,2024-185,0.2525,35.0821416,-106.5897858
2024-543,2024-186,0.0230,35.1166961,-106.5125285
2024-544,2024-187,0.0230,35.11186,-106.5755291
2024-545,2025-1,0.0574,35.10835,-106.74877
2024-546,2025-2,0.1148,35.2610443,-106.7050047
2025-547,2025-3,0.0826,35.10484,-106.49798
2025-548,2025-4,0.5051,35.1178252,-106.5709199
2025-549,2025-5,0.0230,35.1619196,-106.5623368
2025-550,2025-6,0.0489,35.126217,-106.675395
2025-551,2025-7,0.0344,35.0847916,-106.6678443
2025-552,2025-8,0.0489,35.141229,-106.513374
2025-553,2025-9,0.0490,35.0618302,-106.5913773
2025-554,2025-10,0.0230,35.065333,-106.6019618
2025-555,2025-11,0.0344,35.2169344,-106.6177816
2025-556,2025-12,0.0459,35.1286048,-106.3651497
2025-557,2025-13,1.0000,35.0898516,-106.6575686
2025-558,2025-14,0.1148,35.1191393,-106.4960065
2025-559,2025-15,0.2009,35.0913379,-106.5985932
2025-560,2025-16,0.2525,35.1073448,-106.7194242
2025-561,2025-17,0.1148,35.0936533,-106.5387789
2025-562,2025-18,0.1722,35.0963364,-106.6563809
2025-563,2025-19,0.0574,35.1206457,-106.6849949
2025-564,2025-20,0.0344,35.2703821,-106.6521442
2025-565,2025-21,0.0574,35.1168712,-106.5675597
2025-566,2025-22,0.3500,35.2153661,-106.6530766
2025-567,2025-23,0.0230,35.1567625,-106.7151244
2025-568,2025-24,0.1607,34.765465,-106.762886
2025-569,2025-25,0.0230,35.209191,-106.6977692
2025-570,2025-26,2.0000,35.085648,-106.590898
2025-571,2025-27,0.0115,34.975643,-106.347704
2025-572,2025-28,1.0000,35.085648,-106.590898
2025-573,2025-29,0.5051,35.072382,-106.615684
2025-574,2025-30,0.0184,35.0838167,-106.6105928
2025-575,2025-31,0.0574,35.120487,-106.506584
2025-576,2025-32,0.0574,35.0969293,-106.5882227
2025-577,2025-33,0.5051,35.0963526,-106.6799486
2025-578,2025-34,0.1148,35.0943924,-106.674424
2025-579,2025-35,0.2525,35.0943913,-106.6744044
2025-580,2025-36,0.0484,35.081904,-106.649074
2025-581,2025-37,0.0408,35.209110,-106.694740
2025-582,2025-38,0.0004,35.1246318,-106.6660067
2025-583,2025-39,0.1722,35.0897408,-106.6616116
2025-584,2025-40,0.0000,35.093335,-106.6734229
2025-585,2025-41,0.0230,35.1441439,-106.5135559
2025-586,2025-42,0.0230,35.1412684,-106.6536757
2025-587,2025-43,0.1148,35.057530,-106.755899
2025-588,2025-44,0.7500,35.0939076,-106.5131391
2025-589,2025-45,0.0000,34.9893294,-106.6964822
2025-590,2025-46,0.0000,35.071166,-106.59602
2025-591,2025-47,0.0000,34.989258,-106.696524
2025-592,2025-48,0.0000,35.071262,-106.596151
2025-593,2025-49,0.0000,35.1333874,-106.5409805
2025-594,2025-50,0.7500,35.2896978,-106.6066814
2025-595,2025-51,0.0344,35.0776539,-106.6531969
2025-596,2025-52,0.0000,35.0928574,-106.6694979
2025-597,2025-53,0.0000,35.1000378,-106.6840222
2025-598,2025-54,0.0000,35.113254,-106.738352
2025-599,2025-55,0.0092,35.1712632,-106.5167454
2025-600,2025-56,0.0000,35.2211722,-106.6463599
2025-601,2025-57,1.0000,35.0969089,-106.5840372
2025-602,2025-58,1.0000,35.22124,-106.646619
2025-603,2025-59,0.1148,35.0750556,-106.6073679
2025-604,2025-60,0.2525,35.141975,-106.510862
2025-605,2025-61,0.0298,35.1014669,-106.6153459
2025-606,2025-62,0.0344,35.08243,-106.564987
2025-607,2025-63,0.0574,35.1773741,-106.573054
2025-608,2025-64,0.0230,35.0826896,-106.610334
2025-609,2025-65,0.0574,35.0915153,-106.5417004
2025-610,2025-66,0.0230,35.1001872,-106.6723062
2025-611,2025-67,0.0230,35.091199,-106.542376
2025-612,2025-68,0.1148,35.100113,-106.673321
2025-613,2025-69,0.0000,35.238869,-106.679089
2025-614,2025-70,0.0000,35.2413916,-106.591868
2025-615,2025-71,0.0000,35.26402,-106.663228
2025-616,2025-72,1.0000,35.1458947,-106.4945108
2025-617,2025-73,0.0344,35.215257,-106.720981
2025-618,2025-74,0.0803,35.125004,-106.678072
2025-619,2025-75,0.0230,35.0596698,-106.5742506
2025-620,2025-76,0.1148,35.0597348,-106.5742502
2025-621,2025-77,0.1148,35.1273199,-106.5762368
2025-622,2025-78,0.1148,35.0645611,-106.6164883
2025-623,2025-80,0.2525,35.127268,-106.576269
2025-624,2025-81,0.2525,35.2171431,-106.6546233
2025-625,2025-82,0.0000,35.074544,-106.508358
2025-626,2025-83,1.0000,35.215554,-106.651351
2025-627,2025-84,0.0230,35.0854083,-106.6096865
2025-628,2025-85,0.0000,35.180817,-106.678744
2025-629,2025-86,0.0115,35.085359,-106.60968
2025-630,2025-87,0.5051,35.0980878,-106.5913608
2025-631,2025-88,0.5051,35.2342144,-106.6689446
2025-632,2025-89,0.1722,35.098094,-106.591374
2025-633,2025-90,0.2525,35.230813,-106.670615
2025-634,2025-91,0.0000,35.129828,-106.659075
2025-635,2025-92,2.0000,35.1208282,-106.6842858
2025-636,2025-93,0.0230,35.1614985,-106.4832061
2025-637,2025-94,0.2525,35.0651681,-106.6033246
2025-638,2025-95,1.0000,35.160168,-106.481356
2025-639,2025-96,0.1722,35.06498,-106.603118
2025-640,2025-97,0.1722,35.0852617,-106.5799613
2025-641,2025-98,3.5000,35.183962,-106.339918
2025-642,2025-99,0.0574,35.1139325,-106.6722263
2025-643,2025-100,0.1010,35.156897,-106.702277
2025-644,2025-101,0.0023,35.0926698,-106.6005653
2025-645,2025-102,0.0046,35.075721,-106.61671
2025-646,2025-103,0.0344,35.2888998,-106.5954172
2025-647,2025-104,0.0000,35.1223627,-106.7209524
2025-648,2025-105,0.2525,35.28949,-106.594515
2025-649,2025-106,0.0344,35.12241,-106.721091
2025-650,2025-107,0.0000,35.091302,-106.580014
2025-651,2025-108,1.0000,35.1743028,-106.6258943
2025-652,2025-109,0.0000,35.172976,-106.636905
2025-653,2025-110,0.5000,35.174353,-106.6273
2025-654,2025-111,0.0257,35.1653391,-106.499493
2025-655,2025-112,0.0230,35.146089,-106.536448
2025-656,2025-113,0.4000,35.1509254,-106.6531609
2025-657,2025-114,0.0574,35.125166,-106.678432
2025-658,2025-115,0.0115,35.151358,-106.652612
2025-659,2025-116,0.5051,35.1001608,-106.7245036
2025-660,2025-117,0.0000,35.09673,-106.553517
2025-661,2025-118,0.0046,35.1243895,-106.6708134
2025-662,2025-119,0.0000,35.07561,-106.500774
2025-663,2025-120,0.2525,35.124743,-106.67037
2025-664,2025-121,0.0000,35.115268,-106.576909
2025-665,2025-122,0.0000,35.080343,-106.593881
2025-666,2025-123,0.0110,35.1205341,-106.6837756
2025-667,2025-124,0.0000,35.313982,-106.708518
2025-668,2025-125,0.3000,35.1603051,-106.4866747
2025-669,2025-126,0.5051,35.070848,-106.578706
2025-670,2025-127,0.5051,35.0869856,-106.6089892
2025-671,2025-128,0.0230,35.1276993,-106.6565628
2025-672,2025-129,0.0574,35.1155616,-106.5416787
2025-673,2025-130,0.1148,35.1266268,-106.6787498
2025-674,2025-131,0.0230,35.1208612,-106.5743993
2025-675,2025-132,0.2525,35.1170615,-106.6548096
2025-676,2025-133,0.0115,35.1223108,-106.685508
2025-677,2025-134,0.5000,35.0691994,-106.5907115
2025-678,2025-135,0.0230,35.1226050,-106.6851860
2025-679,2025-136,0.0115,35.0690500,-106.5902030
2025-680,2025-137,0.0000,34.98,-106.67
2025-681,2025-138,0.0000,35.092045,-106.5809152
2025-682,2025-139,0.0000,35.237248,-106.607113
2025-683,2025-140,0.0344,35.0778505,-106.4925477
2025-684,2025-141,0.0803,35.143983,-106.664412
2025-685,2025-142,0.2525,35.0961931,-106.6105964
2025-686,2025-143,0.1148,35.072256,-106.593552
2025-687,2025-144,0.0154,35.042734,-106.675487
2025-688,2025-145,0.0000,35.134122,-106.579554
2025-689,2025-146,0.0000,35.1265758,-106.656273
2025-690,2025-147,0.0344,35.1369014,-106.3239807
2025-691,2025-148,0.5051,35.066653,-106.602719
2025-692,2025-149,6.5000,35.1137113,-106.7097199
2025-693,2025-150,0.5051,35.066498,-106.602741
2025-694,2025-151,0.0344,35.1425689,-106.6941323
2025-695,2025-152,0.0000,35.1221653,-106.675081
2025-696,2025-153,0.0011,35.142383,-106.693988
2025-697,2025-154,0.1000,35.122641,-106.676139
2025-698,2025-155,0.0000,35.145562,-106.536881
2025-699,2025-156,0.1722,35.119889,-106.552609
2025-700,2025-157,0.0344,35.645187,-106.340113
2025-701,2025-158,0.0230,35.097898,-106.57482
2025-702,2025-159,0.0574,35.097072,-106.680987
2025-703,2025-160,0.0000,35.098456,-106.565635
2025-704,2025-161,0.0000,35.134154,-106.565791
2025-705,2025-162,0.2525,35.200156,-106.715422
2025-706,2025-163,0.0000,35.14004,-106.539456
2025-707,2025-164,0.0000,35.095301,-106.527005
2025-708,2025-165,0.0000,35.100212,-106.541318
2025-709,2025-166,0.0000,35.097546,-106.602511
2025-710,2025-167,1.0101,35.120937,-106.676441
2025-711,2025-168,0.0574,34.82078,-106.725424
2025-712,2025-169,0.0000,34.80254,-106.7233
2025-713,2025-170,0.0000,35.046922,-106.512429
2025-714,2025-171,0.9871,34.82078,-106.725424
2025-715,2025-172,0.0000,35.062708,-106.750706
2025-716,2025-173,0.0000,35.099264,-106.655673
2025-717,2025-174,0.0344,35.090091,-106.600293
2025-718,2025-175,1.0000,35.16863,-106.500657
2025-719,2025-176,0.0000,34.652861,-106.598278
2025-720,2025-177,0.0000,35.083986,-106.589431
2025-721,2025-178,0.0000,35.071609,-106.590118
2025-722,2025-179,0.5051,35.128435,-106.679715
2025-723,2025-180,0.0000,35.137944,-106.495815
2025-724,2025-181,0.0344,35.101174,-106.585054
2025-725,2025-182,0.0000,35.150301,-106.56924
2025-726,2025-183,0.1148,35.129252,-106.646423
2025-727,2025-184,0.0000,35.134,-106.647318
2025-728,2025-185,0.0000,35.102247,-106.717621
2025-729,2025-186,0.0000,35.11064,-106.713876
2025-730,2025-187,0.0000,35.057583,-106.502128
2025-731,2025-188,0.0000,35.195195,-106.63264
2025-732,2025-189,0.0000,35.155689,-106.611882
2025-733,2025-190,0.0000,35.130986,-106.648244
2025-734,2025-191,0.0000,35.146797,-106.692461
2025-735,2025-192,0.0000,35.123858,-106.661994
2025-736,2025-193,0.1148,35.152356,-106.643792
2025-737,2025-194,0.0000,35.15278,-106.662211
2025-738,2025-195,0.0000,35.026889,-106.732747
2025-739,2025-196,0.0000,35.162925,-106.60965
2025-740,2025-197,0.0000,35.136135,-106.645818
2025-741,2025-198,0.0000,35.079524,-106.38789
2025-742,2025-199,0.1148,35.111087,-106.502369
2025-743,2025-200,0.1148,35.349677,-106.613349
2025-744,2025-201,0.0000,35.289118,-106.634154
2025-745,2025-202,0.0115,35.202341,-106.610228
2025-746,2025-203,0.0000,35.080032,-106.495624
2025-747,2025-204,0.0000,35.126857,-106.596433
2025-748,2025-205,0.0000,35.114438,-106.55354
2025-749,2025-206,0.0000,35.186215,-106.545297
2025-750,2025-207,0.0000,35.122728,-106.546659
2025-751,2025-208,0.0000,35.125308,-106.511024
2025-752,2025-209,0.0000,35.12383,-106.500063
2025-753,2025-210,0.0000,35.120815,-106.67817
2025-754,2025-211,0.0689,35.082791,-106.612314
